Date,Open,High,Low,Close,Volume,Adj_Close,Change
2013/4/11,101.34,102.47,101.34,101.99,4049400,100.39,0.5
2013/4/10,101.12,101.74,101.01,101.49,3159400,99.89,0.43
2013/4/9,101.5,101.5,100.57,101.06,3690400,99.47,-0.44
2013/4/8,101.08,101.5,100.85,101.5,4163600,99.9,0.08
2013/4/5,100.17,101.47,99.81,101.42,5693000,99.83,0.79
2013/4/4,99.54,100.81,99.53,100.63,5860600,99.05,1.38
2013/4/3,100.21,100.5,99.06,99.25,4454400,97.69,-1.01
2013/4/2,99.4,100.42,99.03,100.26,5136800,98.68,1.21
2013/4/1,99.41,99.68,98.85,99.05,3155800,97.49,-0.64
2013/3/28,98.88,99.78,98.67,99.69,3954700,98.12,0.79
2013/3/27,98.19,99.29,98.18,98.9,4401700,97.34,0.4
2013/3/26,98.35,98.67,98.26,98.5,4434000,96.95,0.26
2013/3/25,99.46,99.6,98.12,98.24,4932500,96.7,-1.03
2013/3/22,98.52,99.62,98.52,99.27,4160000,97.71,0.74
2013/3/21,98.5,98.88,98.42,98.53,3523400,96.98,-0.24
2013/3/20,98.59,98.9,98.59,98.77,3534900,97.22,0.37
2013/3/19,98.78,98.99,98.2,98.4,4648500,96.85,-0.17
2013/3/18,98.95,99.34,98.21,98.57,3934500,97.02,-1.1
2013/3/15,98.97,99.7,98.82,99.67,6388000,98.1,0.36
2013/3/14,99.36,99.38,98.9,99.31,3649900,97.75,-0.07
2013/3/13,98.74,99.47,98.54,99.38,3896600,97.82,0.62
2013/3/12,98.86,98.87,98.53,98.76,3856000,97.21,-0.13
2013/3/11,98.46,98.89,98.28,98.89,4853400,97.33,0.18
2013/3/8,98.13,98.95,98.03,98.71,8838100,97.16,1.62
2013/3/7,96.64,97.16,96.64,97.09,4566400,95.56,0.28
2013/3/6,95.95,96.82,95.93,96.81,5052000,95.29,1
2013/3/5,95.54,96.1,95.33,95.81,5643000,94.3,0.74
2013/3/4,95.6,95.67,94.87,95.07,4636900,93.57,-0.61
2013/3/1,95.68,95.82,94.96,95.68,3823200,94.18,-0.22
2013/2/28,95.71,96.22,95.51,95.9,3967600,94.39,0.17
2013/2/27,95.36,95.95,95.11,95.73,4326800,94.22,-0.49
2013/2/26,96.35,96.57,96.05,96.22,6451100,93.95,0.08
2013/2/25,95.38,96.78,95.26,96.14,9028000,93.87,0.89
2013/2/22,94.27,95.25,93.85,95.25,4421300,93,1.11
2013/2/21,93.44,94.45,93.3,94.14,4424600,91.92,0.23
2013/2/20,93.93,94.48,93.75,93.91,4023800,91.69,0.06
2013/2/19,94.14,94.49,93.77,93.85,4401900,91.63,-0.05
2013/2/15,93.81,94.31,93.21,93.9,5094100,91.68,0.34
2013/2/14,93.86,93.89,93.19,93.56,5360900,91.35,-0.44
2013/2/13,94.64,94.75,93.48,94,6663100,91.78,-1.1
2013/2/12,95.05,95.34,94.81,95.1,4526900,92.86,-0.07
2013/2/11,94.75,95.31,94.6,95.17,3557600,92.92,0.3
2013/2/8,94.39,95.48,94.36,94.87,5331600,92.63,0.24
2013/2/7,95.03,95.06,94.07,94.63,5619600,92.4,-0.44
2013/2/6,94.49,95.33,94.41,95.07,4482700,92.83,0.16
2013/2/5,94.59,95.54,94.51,94.91,4952800,92.67,0.31
2013/2/4,95.4,95.79,94.5,94.6,5933300,92.37,-1.35
2013/2/1,95.58,96.32,95.5,95.95,5481100,93.69,0.66
2013/1/31,94.6,95.29,94.46,95.29,5740500,93.04,0.62
2013/1/30,94.88,95.1,94.43,94.67,4657600,92.44,-0.25
2013/1/29,94.15,94.99,94.05,94.92,4929700,92.68,0.56
2013/1/28,93.94,94.58,93.64,94.36,4564600,92.13,0.64
2013/1/25,93.31,93.94,93.28,93.72,5461600,91.51,0.41
2013/1/24,93.58,93.6,93.02,93.31,5157200,91.11,-0.17
2013/1/23,93.45,93.75,92.25,93.48,9368000,91.27,0.53
2013/1/22,92.15,93.33,91.81,92.95,6967300,90.76,0.69
2013/1/18,92.07,92.3,91.85,92.26,5579900,90.08,0.5
2013/1/17,91.45,92.1,91.31,91.76,4044600,89.59,0.66
2013/1/16,91.13,91.32,90.91,91.1,2925800,88.95,-0.41
2013/1/15,91.11,91.63,90.86,91.51,3910400,89.35,-0.02
2013/1/14,91.76,92.12,91.43,91.53,3828100,89.37,-0.2
2013/1/11,91.94,91.98,91.05,91.73,3692600,89.56,0.33
2013/1/10,91.35,91.64,91.03,91.4,4393300,89.24,0.59
2013/1/9,90.8,91.24,90.36,90.81,4822100,88.67,-0.13
2013/1/8,90.54,90.96,89.97,90.94,6285200,88.79,0.03
2013/1/7,89.77,91.05,89.25,90.91,5820900,88.76,1.06
2013/1/4,90.62,90.79,89.67,89.85,5374100,87.73,-0.78
2013/1/3,90.31,90.7,90.16,90.63,5473500,88.49,0.51
2013/1/2,89.4,90.35,89.33,90.12,7377200,87.99,0
